fpr,tpr
0.002651,0.042827
0.002651,0.042958
0.002651,0.043088
0.003313,0.043088
0.003313,0.043218
0.003313,0.043348
0.003313,0.043478
0.003313,0.043608
0.003313,0.043739
0.003313,0.043869
0.003313,0.043999
0.003313,0.044129
0.003313,0.044259
0.003313,0.044389
0.003313,0.04452
0.003313,0.04465
0.003313,0.04478
0.003313,0.04491
0.003313,0.04504
0.003313,0.045171
0.003313,0.045301
0.003313,0.045431
0.003313,0.045561
0.003313,0.045691
0.003313,0.045821
0.003313,0.045952
0.003313,0.046082
0.003313,0.046212
0.003313,0.046342
0.003313,0.046472
0.003313,0.046602
0.003313,0.046733
0.003313,0.046863
0.003313,0.046993
0.003313,0.047123
0.003313,0.047253
0.003313,0.047383
0.003313,0.047514
0.003313,0.047644
0.003313,0.047774
0.003313,0.047904
0.003313,0.048034
0.003313,0.048165
0.003313,0.048295
0.003313,0.048425
0.003313,0.048685
0.003313,0.048815
0.003313,0.048946
0.003313,0.049076
0.003976,0.049076
0.003976,0.049206
0.003976,0.049336
0.003976,0.049466
0.003976,0.049596
0.003976,0.049727
0.003976,0.049857
0.003976,0.049987
0.003976,0.050117
0.003976,0.050247
0.003976,0.050378
0.003976,0.050508
0.003976,0.050638
0.003976,0.050768
0.003976,0.050898
0.003976,0.051028
0.003976,0.051159
0.003976,0.051289
0.003976,0.051419
0.003976,0.051549
0.003976,0.051679
0.003976,0.051809
0.003976,0.05194
0.003976,0.05207
0.003976,0.0522
0.003976,0.05233
0.003976,0.05246
0.003976,0.05259
0.003976,0.052721
0.003976,0.052851
0.003976,0.052981
0.003976,0.053111
0.003976,0.053241
0.003976,0.053372
0.003976,0.053502
0.003976,0.053632
0.003976,0.053762
0.003976,0.053892
0.003976,0.054022
0.003976,0.054153
0.003976,0.054283
0.003976,0.054413
0.003976,0.054543
0.003976,0.054673
0.003976,0.054803
0.003976,0.054934
0.003976,0.055064
0.003976,0.055194
0.003976,0.055324
0.003976,0.055454
0.003976,0.055584
0.003976,0.055715
0.003976,0.055845
0.003976,0.055975
0.003976,0.056105
0.003976,0.056235
0.003976,0.056366
0.003976,0.056496
0.003976,0.056626
0.003976,0.056756
0.003976,0.056886
0.003976,0.057016
0.003976,0.057147
0.003976,0.057277
0.003976,0.057407
0.003976,0.057537
0.003976,0.057667
0.003976,0.057797
0.003976,0.057928
0.003976,0.058058
0.003976,0.058188
0.003976,0.058318
0.003976,0.058448
0.003976,0.058578
0.003976,0.058709
0.003976,0.058839
0.003976,0.058969
0.003976,0.059099
0.003976,0.059229
0.003976,0.05936
0.003976,0.05949
0.003976,0.05962
0.003976,0.05975
0.003976,0.05988
0.003976,0.06001
0.003976,0.060141
0.003976,0.060401
0.003976,0.060531
0.003976,0.060661
0.003976,0.060791
0.003976,0.060922
0.003976,0.061052
0.003976,0.061182
0.003976,0.061312
0.003976,0.061442
0.003976,0.061573
0.003976,0.061703
0.003976,0.061833
0.003976,0.061963
0.003976,0.062093
0.003976,0.062223
0.003976,0.062354
0.003976,0.062484
0.003976,0.062614
0.003976,0.062744
0.003976,0.062874
0.003976,0.063004
0.003976,0.063135
0.003976,0.063265
0.003976,0.063395
0.003976,0.063525
0.003976,0.063655
0.003976,0.063785
0.003976,0.063916
0.003976,0.064046
0.003976,0.064176
0.003976,0.064306
0.003976,0.064436
0.003976,0.064567
0.003976,0.064697
0.003976,0.064827
0.003976,0.064957
0.003976,0.065087
0.003976,0.065217
0.003976,0.065348
0.003976,0.065478
0.003976,0.065608
0.003976,0.065738
0.003976,0.065868
0.003976,0.065998
0.003976,0.066129
0.003976,0.066259
0.003976,0.066389
0.003976,0.066519
0.003976,0.066779
0.003976,0.06691
0.003976,0.06704
0.003976,0.06717
0.003976,0.0673
0.003976,0.06743
